2025-01-31 22:15:37,7e1079ca-59b0-4ba6-88f4-4c21e56db823,35,My friend recommended it,neutral,0.0,3.3735
2025-01-31 22:15:37,78441948-dc7f-42fe-b8b1-a4512420bf37,10,I'm not sure about this product. Mixed feelings.,negative,12.5,3.4365
2025-01-31 22:15:37,2a9cdbca-ac42-44cb-a409-eee67be30d31,9,Waste of money. Do not buy!,negative,25.0,3.4886
2025-01-31 22:15:37,eb066b23-3ec1-4d08-8887-7888c5fa35ba,44,Not user-friendly at all.,neutral,0.0,3.4845
2025-01-31 22:15:37,5836bbb7-9bbc-4f3c-9905-318675903ab4,20,I'm impressed! Way better than I expected.,positive,46.666666666666664,3.5453
2025-01-31 22:15:37,aa465275-6fa1-481c-99f0-9758e2c5cc77,34,The app integration is really bad.,negative,69.99999999999999,3.5715
2025-01-31 22:15:37,19f97028-95af-42e0-94a4-fe71ac39446a,36,Would not buy again. Very disappointing.,negative,78.0,3.6161
2025-01-31 22:15:37,4490b477-dde7-44ee-b467-6a1fb9295ead,42,Surprisingly good for the price.,positive,70.0,3.6764
2025-01-31 22:15:37,896edc38-4c89-48cb-a873-bb3df5c4cf0c,28,It was okay,positive,50.0,3.7341
2025-01-31 22:15:37,801815a0-125a-458a-8d6d-18ea1488799d,16,Very comfortable and well-designed.,positive,52.0,3.8714
2025-01-31 22:15:37,867fe8e6-b070-4631-87c5-4efb872dcb7c,38,Annoying customer service. Didn't help at all.,negative,80.0,3.8492
2025-01-31 22:15:37,006b00e1-3cab-449c-91c3-319f9dac8faa,21,Not happy with this product. Expected more.,neutral,0.0,3.9033
2025-01-31 22:15:37,d5455035-95c8-4354-b517-1875fcd4fac7,37,The best decision I made this year!,positive,100.0,3.9318
2025-01-31 22:15:37,de79acfd-0ee9-4d2b-af38-41338683bcc6,15,The worst experience I've ever had with a product.,negative,100.0,3.9846
2025-01-31 22:15:37,60236666-8a83-4abb-bd8f-053914f09c77,1,I absolutely love this product! It works perfectly.,positive,81.25,4.1229
2025-01-31 22:15:37,70b0db7e-e385-4437-b11c-5c54e6784283,6,Customer service was great,positive,80.0,4.1155
2025-01-31 22:15:37,cc6ecb37-866a-46b0-bf39-f4c383fe5127,45,This is an amazing product! Highly recommended.,positive,45.50000000000001,0.7043
2025-01-31 22:15:37,7449180e-5b15-462c-b3b3-7e4652ce6c36,22,Love the color and build quality!,positive,62.5,4.2085
2025-01-31 22:15:38,5b341f74-655a-4313-a197-ef5be5dda1bc,12,Not as described. False advertising.,negative,40.00000000000001,4.2644
2025-01-31 22:15:38,ee8e1611-3db4-4269-b5ac-3dac6671dd5b,47,I'm returning this. Not satisfied.,negative,25.0,0.7055
2025-01-31 22:15:38,9c1fdb44-ea63-43c3-b273-2636c4762d07,23,This made my life so much easier.,positive,20.0,4.3072
2025-01-31 22:15:38,f0355b10-9d02-473d-808a-ddbf3cdf8067,56,It was defective when it arrived.,neutral,0.0,0.641
2025-01-31 22:15:38,03b6d56f-716d-4877-91bb-421660c0dafb,32,Packaging was damaged on arrival.,neutral,0.0,0.7648
2025-01-31 22:15:38,6b03ed92-4411-498f-83ee-8248d23c57e2,19,Broke after a few uses. Poor durability.,negative,30.000000000000004,4.4667
2025-01-31 22:15:38,9151b5bd-0929-48c5-9427-0d32fa0a8283,46,Hard to install,negative,29.166666666666668,1.1468
2025-01-31 22:15:38,adf37227-4b0b-430e-a90e-4a457326729d,2,Terrible quality. Not worth the money.,negative,57.49999999999999,4.819
2025-01-31 22:15:38,3e6e5791-a1f6-48ff-886d-3de28f3469b1,55,Fantastic design and super lightweight.,positive,36.66666666666667,0.9447
